iter	Passed	Remaining
0	90	89974
1	113	56452
2	137	45535
3	159	39664
4	182	36380
5	207	34429
6	235	33415
7	258	32076
8	282	31060
9	306	30331
10	328	29553
11	351	28953
12	374	28469
13	396	27927
14	419	27543
15	440	27102
16	461	26678
17	482	26312
18	501	25904
19	521	25558
20	542	25309
21	569	25324
22	590	25086
23	611	24882
24	632	24654
25	652	24455
26	673	24276
27	692	24052
28	715	23957
29	737	23836
30	759	23745
31	781	23637
32	800	23467
33	822	23363
34	843	23264
35	864	23148
36	885	23054
37	906	22953
38	925	22795
39	945	22702
40	966	22611
41	989	22569
42	1011	22522
43	1038	22558
44	1063	22579
45	1088	22578
46	1111	22543
47	1137	22562
48	1160	22517
49	1180	22424
50	1202	22370
51	1224	22330
52	1247	22290
53	1269	22236
54	1290	22176
55	1314	22163
56	1337	22123
57	1358	22059
58	1380	22024
59	1404	22009
60	1428	21996
61	1450	21938
62	1472	21895
63	1493	21844
64	1516	21809
65	1539	21780
66	1563	21770
67	1586	21748
68	1608	21697
69	1630	21663
70	1653	21634
71	1679	21650
72	1713	21762
73	1736	21734
74	1760	21707
75	1780	21649
76	1804	21633
77	1828	21619
78	1850	21575
79	1875	21569
80	1900	21559
81	1933	21645
82	1957	21622
83	1977	21566
84	2001	21542
85	2025	21525
86	2046	21478
87	2066	21421
88	2085	21348
89	2109	21329
90	2128	21263
91	2147	21199
92	2167	21140
93	2197	21177
94	2217	21124
95	2238	21081
96	2260	21040
97	2280	20985
98	2300	20941
99	2320	20887
100	2342	20848
101	2361	20786
102	2383	20759
103	2401	20687
104	2422	20646
105	2440	20585
106	2461	20540
107	2480	20489
108	2499	20435
109	2522	20407
110	2542	20363
111	2563	20323
112	2583	20279
113	2610	20285
114	2630	20239
115	2652	20216
116	2675	20194
117	2697	20161
118	2718	20126
119	2741	20106
120	2762	20067
121	2783	20031
122	2804	19997
123	2826	19968
124	2848	19942
125	2869	19902
126	2889	19863
127	2907	19810
128	2927	19768
129	2947	19723
130	2966	19679
131	2990	19665
132	3010	19624
133	3033	19605
134	3056	19587
135	3077	19548
136	3099	19525
137	3121	19499
138	3141	19460
139	3163	19435
140	3185	19406
141	3204	19362
142	3223	19315
143	3241	19269
144	3260	19226
145	3281	19197
146	3302	19161
147	3321	19121
148	3341	19084
149	3361	19051
150	3381	19010
151	3400	18970
152	3420	18937
153	3442	18911
154	3461	18868
155	3481	18833
156	3501	18798
157	3521	18764
158	3540	18726
159	3559	18685
160	3578	18647
161	3598	18615
162	3618	18582
163	3639	18550
164	3660	18523
165	3681	18493
166	3700	18455
167	3719	18421
168	3738	18384
169	3756	18341
170	3774	18296
171	3792	18258
172	3812	18222
173	3831	18186
174	3850	18152
175	3875	18144
176	3897	18123
177	3920	18107
178	3942	18083
179	3963	18056
180	3982	18019
181	4000	17981
182	4021	17952
183	4043	17931
184	4061	17894
185	4082	17868
186	4103	17839
187	4122	17805
188	4144	17782
189	4163	17749
190	4184	17725
191	4203	17689
192	4222	17656
193	4243	17631
194	4261	17594
195	4284	17575
196	4304	17545
197	4327	17528
198	4347	17497
199	4376	17504
200	4395	17473
201	4416	17446
202	4436	17419
203	4458	17396
204	4478	17366
205	4497	17336
206	4520	17318
207	4541	17291
208	4560	17261
209	4579	17228
210	4598	17194
211	4618	17165
212	4639	17140
213	4658	17110
214	4678	17080
215	4699	17058
216	4718	17025
217	4740	17003
218	4758	16970
219	4781	16952
220	4800	16920
221	4821	16896
222	4839	16863
223	4858	16830
224	4878	16802
225	4899	16778
226	4918	16750
227	4936	16713
228	4956	16687
229	4973	16650
230	4993	16622
231	5013	16596
232	5032	16566
233	5050	16532
234	5071	16508
235	5093	16488
236	5110	16454
237	5132	16433
238	5151	16404
239	5168	16367
240	5185	16332
241	5204	16300
242	5220	16263
243	5240	16237
244	5260	16211
245	5281	16188
246	5306	16176
247	5327	16155
248	5349	16134
249	5369	16108
250	5389	16081
251	5408	16053
252	5428	16027
253	5448	16002
254	5466	15971
255	5486	15945
256	5506	15920
257	5526	15894
258	5546	15869
259	5570	15855
260	5590	15828
261	5609	15799
262	5628	15771
263	5655	15766
264	5674	15737
265	5694	15713
266	5718	15699
267	5739	15677
268	5761	15656
269	5779	15626
270	5800	15604
271	5821	15582
272	5840	15553
273	5858	15523
274	5878	15497
275	5901	15480
276	5922	15458
277	5942	15432
278	5964	15414
279	5982	15384
280	6001	15356
281	6020	15328
282	6040	15305
283	6060	15278
284	6079	15251
285	6100	15229
286	6118	15199
287	6137	15174
288	6155	15143
289	6174	15117
290	6193	15090
291	6215	15070
292	6236	15048
293	6256	15025
294	6276	14999
295	6294	14970
296	6318	14955
297	6336	14927
298	6356	14902
299	6374	14873
300	6394	14849
301	6412	14821
302	6432	14797
303	6453	14775
304	6473	14750
305	6492	14725
306	6514	14704
307	6532	14677
308	6553	14655
309	6571	14627
310	6588	14596
311	6609	14574
312	6627	14547
313	6646	14521
314	6667	14499
315	6685	14471
